1,Red,RED(x=5, y=5),2159667
2,Blue,REDSWAP(),2441125
3,Red,BLUE(x=6, y=3),3022704917
4,Blue,RED(x=3, y=6),3021901041
5,Red,BLUE(x=8, y=4),6041611250
6,Blue,RED(x=7, y=3),6036763500
7,Red,BLUE(x=6, y=4),9055712083
8,Blue,RED(x=7, y=7),9049935834
9,Red,BLUE(x=4, y=8),12066678416
10,Blue,RED(x=6, y=7),12061299500
11,Red,BLUE(x=7, y=2),15079911666
12,Blue,RED(x=1, y=7),15074170875
13,Red,BLUE(x=2, y=6),18094803291
14,Blue,RED(x=2, y=7),18086223375
15,Red,BLUE(x=7, y=5),21113772041
16,Blue,RED(x=6, y=6),21098835750
17,Red,BLUE(x=7, y=1),24131166082
18,Blue,RED(x=8, y=7),24117033416
19,Red,BLUE(x=8, y=9),27150120915
20,Blue,RED(x=6, y=5),27137281708
21,Red,BLUE(x=1, y=9),30165107707
22,Blue,RED(x=9, y=6),30157047917
23,Red,BLUE(x=0, y=5),33188357457
24,Blue,RED(x=4, y=5),33177121625
25,Red,BLUE(x=2, y=8),36208685957
26,Blue,RED(x=10, y=6),36188305292
27,Red,BLUE(x=10, y=1),39214178582
28,Blue,RED(x=0, y=7),39189984042
Blue,39189984042
Red,39214178582
winner,Blue,WIN
