1,Red,RED(x=5, y=5),2057667
2,Blue,REDSWAP(),1888917
3,Red,BLUE(x=2, y=7),3021494792
4,Blue,RED(x=2, y=8),3022782667
5,Red,BLUE(x=3, y=5),6040766709
6,Blue,RED(x=7, y=4),6044134083
7,Red,BLUE(x=8, y=4),9056433042
8,Blue,RED(x=5, y=7),9061653749
9,Red,BLUE(x=4, y=7),12070613542
10,Blue,RED(x=1, y=9),12075163374
11,Red,BLUE(x=8, y=2),15088242958
12,Blue,RED(x=0, y=10),15088655499
13,Red,BLUE(x=3, y=6),18105843666
14,Blue,RED(x=3, y=9),18101969083
15,Red,BLUE(x=6, y=7),21119035791
16,Blue,RED(x=5, y=9),21120347499
17,Red,BLUE(x=7, y=7),24133374291
18,Blue,RED(x=8, y=3),24137153499
19,Red,BLUE(x=4, y=8),27146865333
20,Blue,RED(x=4, y=9),27152459165
21,Red,BLUE(x=3, y=4),30164987458
22,Blue,RED(x=5, y=8),30169959707
23,Red,BLUE(x=10, y=1),33183729791
24,Blue,RED(x=9, y=3),33183538623
25,Red,BLUE(x=9, y=5),36203441000
26,Blue,RED(x=6, y=6),36204340539
27,Red,BLUE(x=5, y=2),39218902125
28,Blue,RED(x=2, y=9),39219329247
29,Red,BLUE(x=2, y=1),42234984583
30,Blue,RED(x=6, y=5),42231924664
31,Red,BLUE(x=9, y=10),45238283541
32,Blue,RED(x=10, y=2),45233599414
Blue,45233599414
Red,45238283541
winner,Blue,WIN
