1,Red,RED(x=5, y=5),2657625
2,Blue,REDSWAP(),2255916
3,Red,BLUE(x=4, y=4),3020073958
4,Blue,RED(x=6, y=5),3017453791
5,Red,BLUE(x=7, y=4),6035229875
6,Blue,RED(x=7, y=5),6035423708
7,Red,BLUE(x=3, y=5),9047059500
8,Blue,RED(x=3, y=6),9050981916
9,Red,BLUE(x=8, y=6),12064933500
10,Blue,RED(x=2, y=6),12067208541
11,Red,BLUE(x=9, y=4),15077214792
12,Blue,RED(x=7, y=7),15085209291
13,Red,BLUE(x=10, y=1),18092897625
14,Blue,RED(x=8, y=7),18104912958
15,Red,BLUE(x=10, y=6),21108985000
16,Blue,RED(x=9, y=3),21117519000
17,Red,BLUE(x=8, y=4),24124880125
18,Blue,RED(x=10, y=7),24130819958
19,Red,BLUE(x=5, y=7),27143183666
20,Blue,RED(x=9, y=5),27147459666
21,Red,BLUE(x=8, y=2),30158080416
22,Blue,RED(x=8, y=5),30167693999
23,Red,BLUE(x=3, y=8),33175891166
24,Blue,RED(x=4, y=6),33196308499
25,Red,BLUE(x=0, y=4),36207254500
26,Blue,RED(x=1, y=6),36217915124
27,Red,BLUE(x=10, y=10),39231613333
28,Blue,RED(x=0, y=6),39232437499
29,Red,BLUE(x=8, y=1),42239296417
30,Blue,RED(x=10, y=4),42234766999
Blue,42234766999
Red,42239296417
winner,Blue,WIN
