1,Red,RED(x=5, y=5),2306708
2,Blue,REDSWAP(),2525500
3,Red,BLUE(x=2, y=8),3025319208
4,Blue,RED(x=8, y=3),3021959958
5,Red,BLUE(x=7, y=3),6040914958
6,Blue,RED(x=7, y=4),6044518583
7,Red,BLUE(x=4, y=3),9054681292
8,Blue,RED(x=4, y=5),9058662417
9,Red,BLUE(x=2, y=4),12068535792
10,Blue,RED(x=2, y=6),12072105459
11,Red,BLUE(x=0, y=10),15085436709
12,Blue,RED(x=0, y=8),15090349292
13,Red,BLUE(x=10, y=0),18098747292
14,Blue,RED(x=1, y=7),18105172000
15,Red,BLUE(x=8, y=2),21115501542
16,Blue,RED(x=6, y=5),21118764834
17,Red,BLUE(x=4, y=4),24136032959
18,Blue,RED(x=9, y=3),24136678542
19,Red,BLUE(x=0, y=7),27151187168
20,Blue,RED(x=3, y=6),27146451125
21,Red,BLUE(x=5, y=1),30158693543
22,Blue,RED(x=10, y=2),30147799541
Blue,30147799541
Red,30158693543
winner,Blue,WIN
