1,Red,RED(x=5, y=5),2320667
2,Blue,REDSWAP(),2307750
3,Red,BLUE(x=8, y=3),3026567250
4,Blue,RED(x=6, y=5),3023117375
5,Red,BLUE(x=7, y=5),6048201041
6,Blue,RED(x=9, y=1),6038930250
7,Red,BLUE(x=7, y=2),9061329958
8,Blue,RED(x=3, y=6),9056596292
9,Red,BLUE(x=6, y=6),12072657250
10,Blue,RED(x=4, y=8),12070847500
11,Red,BLUE(x=5, y=8),15088287083
12,Blue,RED(x=6, y=2),15088316125
13,Red,BLUE(x=7, y=1),18106875541
14,Blue,RED(x=2, y=7),18104923625
15,Red,BLUE(x=8, y=4),21123317333
16,Blue,RED(x=3, y=10),21120154125
17,Red,BLUE(x=5, y=9),24140707208
18,Blue,RED(x=3, y=9),24136858583
19,Red,BLUE(x=8, y=2),27159218541
20,Blue,RED(x=10, y=6),27157281333
21,Red,BLUE(x=6, y=7),30185508333
22,Blue,RED(x=6, y=0),30186956041
23,Red,BLUE(x=5, y=10),33191468541
24,Blue,RED(x=9, y=10),33189147291
25,Red,BLUE(x=7, y=0),36192898124
Blue,33189147291
Red,36192898124
winner,Red,WIN
