1,Red,RED(x=5, y=5),2025583
2,Blue,REDSWAP(),1971958
3,Red,BLUE(x=7, y=3),3022915292
4,Blue,RED(x=6, y=6),3021241416
5,Red,BLUE(x=4, y=4),6043284751
6,Blue,RED(x=6, y=5),6039564249
7,Red,BLUE(x=4, y=6),9059847334
8,Blue,RED(x=4, y=5),9058884207
9,Red,BLUE(x=2, y=6),12074870209
10,Blue,RED(x=7, y=4),12071729457
11,Red,BLUE(x=3, y=5),15091576250
12,Blue,RED(x=4, y=3),15087569332
13,Red,BLUE(x=3, y=7),18106529083
14,Blue,RED(x=4, y=7),18101890874
15,Red,BLUE(x=3, y=8),21124049458
16,Blue,RED(x=7, y=2),21118948290
17,Red,BLUE(x=5, y=3),24143949583
18,Blue,RED(x=2, y=4),24137693873
19,Red,BLUE(x=5, y=2),27159904542
20,Blue,RED(x=9, y=1),27155977331
21,Red,BLUE(x=3, y=6),30181072750
22,Blue,RED(x=2, y=2),30177504915
23,Red,BLUE(x=5, y=1),33202605000
24,Blue,RED(x=6, y=2),33196577998
25,Red,BLUE(x=3, y=9),36229477833
26,Blue,RED(x=9, y=9),36226624290
27,Red,BLUE(x=2, y=10),39243343500
28,Blue,RED(x=0, y=7),39233160832
29,Red,BLUE(x=5, y=0),42245504041
Blue,39233160832
Red,42245504041
winner,Red,WIN
