1,Red,RED(x=5, y=5),2007584
2,Blue,REDSWAP(),2318791
3,Red,BLUE(x=6, y=5),3023500834
4,Blue,RED(x=8, y=1),3021271749
5,Red,BLUE(x=6, y=4),6039164876
6,Blue,RED(x=5, y=2),6042140916
7,Red,BLUE(x=7, y=3),9054345459
8,Blue,RED(x=4, y=7),9053654832
9,Red,BLUE(x=7, y=6),12071833543
10,Blue,RED(x=10, y=0),12071527874
11,Red,BLUE(x=6, y=2),15090522377
12,Blue,RED(x=7, y=0),15088323749
13,Red,BLUE(x=5, y=4),18106982002
14,Blue,RED(x=6, y=1),18108741541
15,Red,BLUE(x=5, y=7),21122919877
16,Blue,RED(x=4, y=3),21128277833
17,Red,BLUE(x=2, y=1),24139945710
18,Blue,RED(x=3, y=4),24146453458
19,Red,BLUE(x=0, y=9),27158977544
20,Blue,RED(x=7, y=1),27173128333
21,Red,BLUE(x=3, y=1),30190602252
22,Blue,RED(x=2, y=5),30198795249
23,Red,BLUE(x=4, y=1),33217919960
24,Blue,RED(x=1, y=5),33225542041
25,Red,BLUE(x=0, y=5),36245707501
26,Blue,RED(x=0, y=6),36227455082
27,Red,BLUE(x=9, y=1),39247319167
28,Blue,RED(x=9, y=0),39227814415
Blue,39227814415
Red,39247319167
winner,Blue,WIN
