1,Red,RED(x=5, y=5),2262875
2,Blue,REDSWAP(),2241500
3,Red,BLUE(x=4, y=4),3022942792
4,Blue,RED(x=4, y=6),3023848333
5,Red,BLUE(x=2, y=6),6037039542
6,Blue,RED(x=0, y=10),6042846375
7,Red,BLUE(x=7, y=4),9052364709
8,Blue,RED(x=1, y=9),9059660250
9,Red,BLUE(x=6, y=6),12066467667
10,Blue,RED(x=5, y=8),12077454417
11,Red,BLUE(x=6, y=7),15083421875
12,Blue,RED(x=6, y=8),15091177000
13,Red,BLUE(x=5, y=7),18099764625
14,Blue,RED(x=3, y=7),18106585083
15,Red,BLUE(x=4, y=8),21111678875
16,Blue,RED(x=8, y=1),21124245541
17,Red,BLUE(x=2, y=8),24127224042
18,Blue,RED(x=7, y=1),24143496541
19,Red,BLUE(x=2, y=7),27144124750
20,Blue,RED(x=9, y=2),27156703791
21,Red,BLUE(x=2, y=9),30162476458
22,Blue,RED(x=1, y=4),30172065707
23,Red,BLUE(x=8, y=2),33182462833
24,Blue,RED(x=9, y=1),33192697082
25,Red,BLUE(x=5, y=2),36203549166
26,Blue,RED(x=3, y=6),36209130582
27,Red,BLUE(x=3, y=5),39223581208
28,Blue,RED(x=3, y=0),39229951374
29,Red,BLUE(x=5, y=1),42254621417
30,Blue,RED(x=10, y=3),42258267207
31,Red,BLUE(x=5, y=3),45275682625
32,Blue,RED(x=2, y=1),45281900665
33,Red,BLUE(x=6, y=0),47280439583
34,Blue,RED(x=1, y=5),47285010331
35,Red,BLUE(x=2, y=10),49281696583
Blue,47285010331
Red,49281696583
winner,Red,WIN
