1,Red,RED(x=5, y=5),2136625
2,Blue,REDSWAP(),2156958
3,Red,BLUE(x=8, y=3),3016577333
4,Blue,RED(x=3, y=7),3021337000
5,Red,BLUE(x=7, y=6),6037153208
6,Blue,RED(x=6, y=4),6039734500
7,Red,BLUE(x=7, y=7),9047744791
8,Blue,RED(x=2, y=7),9054161667
9,Red,BLUE(x=7, y=3),12060289791
10,Blue,RED(x=7, y=5),12067602792
11,Red,BLUE(x=9, y=4),15077286916
12,Blue,RED(x=8, y=5),15082340917
13,Red,BLUE(x=9, y=5),18091287708
14,Blue,RED(x=7, y=1),18096214501
15,Red,BLUE(x=8, y=6),21105589958
16,Blue,RED(x=4, y=6),21111663709
17,Red,BLUE(x=8, y=1),24124501042
18,Blue,RED(x=5, y=9),24129758584
19,Red,BLUE(x=7, y=9),27140611583
20,Blue,RED(x=7, y=8),27146415418
21,Red,BLUE(x=5, y=8),30157171666
22,Blue,RED(x=1, y=7),30163185877
23,Red,BLUE(x=4, y=9),33174743083
24,Blue,RED(x=5, y=7),33181513043
25,Red,BLUE(x=9, y=3),36191537083
26,Blue,RED(x=5, y=2),36203059334
27,Red,BLUE(x=6, y=8),39210000166
28,Blue,RED(x=5, y=10),39225527750
29,Red,BLUE(x=8, y=2),42225175166
30,Blue,RED(x=2, y=4),42241564375
31,Red,BLUE(x=4, y=10),45231725416
32,Blue,RED(x=8, y=0),45242873125
33,Red,BLUE(x=9, y=0),47232239124
Blue,45242873125
Red,47232239124
winner,Red,WIN
