1,Red,RED(x=5, y=5),2184208
2,Blue,REDSWAP(),1835334
3,Red,BLUE(x=4, y=6),3021810875
4,Blue,RED(x=4, y=5),3022761501
5,Red,BLUE(x=7, y=6),6043553125
6,Blue,RED(x=9, y=2),6043810501
7,Red,BLUE(x=7, y=5),9057525084
8,Blue,RED(x=7, y=4),9059451793
9,Red,BLUE(x=7, y=3),12072198418
10,Blue,RED(x=8, y=3),12074231835
11,Red,BLUE(x=2, y=3),15090855626
12,Blue,RED(x=2, y=6),15091076418
13,Red,BLUE(x=3, y=3),18108797667
14,Blue,RED(x=3, y=5),18110890876
15,Red,BLUE(x=10, y=3),21126500292
16,Blue,RED(x=6, y=5),21129764876
17,Red,BLUE(x=4, y=3),24155226209
18,Blue,RED(x=1, y=6),24158393292
19,Red,BLUE(x=0, y=0),27178960584
20,Blue,RED(x=0, y=7),27166856917
21,Red,BLUE(x=5, y=7),30182068209
22,Blue,RED(x=10, y=2),30168337417
Blue,30168337417
Red,30182068209
winner,Blue,WIN
