1,Red,RED(x=5, y=5),2184458
2,Blue,REDSWAP(),2293041
3,Red,BLUE(x=7, y=5),3016409333
4,Blue,RED(x=9, y=1),3025904583
5,Red,BLUE(x=3, y=5),6036896625
6,Blue,RED(x=7, y=2),6041600999
7,Red,BLUE(x=4, y=6),9048842000
8,Blue,RED(x=4, y=7),9058843582
9,Red,BLUE(x=3, y=6),12066164792
10,Blue,RED(x=5, y=2),12073330998
11,Red,BLUE(x=8, y=2),15085407917
12,Blue,RED(x=8, y=1),15086331456
13,Red,BLUE(x=3, y=2),18103912542
14,Blue,RED(x=2, y=8),18105548789
15,Red,BLUE(x=1, y=9),21121219792
16,Blue,RED(x=1, y=8),21121527705
17,Red,BLUE(x=5, y=6),24134517375
18,Blue,RED(x=5, y=7),24136703122
19,Red,BLUE(x=2, y=4),27149389875
20,Blue,RED(x=6, y=7),27154058913
21,Red,BLUE(x=6, y=2),30163729458
22,Blue,RED(x=7, y=7),30169045163
23,Red,BLUE(x=2, y=5),33177369083
24,Blue,RED(x=3, y=8),33186234788
25,Red,BLUE(x=3, y=1),36192130250
26,Blue,RED(x=8, y=6),36203747622
27,Red,BLUE(x=10, y=2),39212453875
28,Blue,RED(x=9, y=5),39222925247
29,Red,BLUE(x=9, y=10),42231946750
30,Blue,RED(x=10, y=5),42228959331
31,Red,BLUE(x=5, y=10),45233871000
32,Blue,RED(x=0, y=8),45231925748
Blue,45231925748
Red,45233871000
winner,Blue,WIN
