1,Red,RED(x=5, y=5),2174916
2,Blue,REDSWAP(),4844125
3,Red,BLUE(x=4, y=4),3021799916
4,Blue,RED(x=8, y=3),3020316042
5,Red,BLUE(x=5, y=3),6041161124
6,Blue,RED(x=1, y=7),6040984792
7,Red,BLUE(x=3, y=6),9053331416
8,Blue,RED(x=6, y=2),9053284001
9,Red,BLUE(x=5, y=2),12070252666
10,Blue,RED(x=5, y=8),12066807084
11,Red,BLUE(x=2, y=8),15084730708
12,Blue,RED(x=4, y=6),15083376584
13,Red,BLUE(x=3, y=7),18099623541
14,Blue,RED(x=2, y=6),18100506459
15,Red,BLUE(x=3, y=5),21116762625
16,Blue,RED(x=2, y=2),21120856918
17,Red,BLUE(x=2, y=9),24139447125
18,Blue,RED(x=5, y=10),24150426918
19,Red,BLUE(x=2, y=10),27172134250
20,Blue,RED(x=6, y=0),27177820751
21,Red,BLUE(x=6, y=1),30177944584
22,Blue,RED(x=7, y=0),30183790001
23,Red,BLUE(x=7, y=1),33182044501
24,Blue,RED(x=8, y=0),33188469959
25,Red,BLUE(x=8, y=1),36196472334
26,Blue,RED(x=9, y=0),36192865917
27,Red,BLUE(x=10, y=0),39210943001
28,Blue,RED(x=9, y=1),39215783667
29,Red,BLUE(x=4, y=1),42238246792
30,Blue,RED(x=3, y=4),42244771375
31,Red,BLUE(x=5, y=1),45240395333
32,Blue,RED(x=4, y=0),45246380125
33,Red,BLUE(x=5, y=0),47240731791
Blue,45246380125
Red,47240731791
winner,Red,WIN
