1,Red,RED(x=5, y=5),2166625
2,Blue,REDSWAP(),1872042
3,Red,BLUE(x=7, y=4),3020248167
4,Blue,RED(x=9, y=1),3018397959
5,Red,BLUE(x=4, y=4),6036808167
6,Blue,RED(x=6, y=6),6034281917
7,Red,BLUE(x=4, y=5),9050377083
8,Blue,RED(x=3, y=6),9047780458
9,Red,BLUE(x=4, y=6),12066973625
10,Blue,RED(x=1, y=9),12060912917
11,Red,BLUE(x=3, y=8),15085905958
12,Blue,RED(x=7, y=1),15074556251
13,Red,BLUE(x=2, y=10),18104046166
14,Blue,RED(x=7, y=2),18093300085
15,Red,BLUE(x=5, y=2),21121346375
16,Blue,RED(x=3, y=1),21107954543
17,Red,BLUE(x=6, y=1),24136420167
18,Blue,RED(x=0, y=9),24128258335
19,Red,BLUE(x=4, y=7),27156661375
20,Blue,RED(x=1, y=5),27146490044
21,Red,BLUE(x=5, y=3),30185193125
22,Blue,RED(x=7, y=0),30175771586
23,Red,BLUE(x=6, y=0),33187011834
24,Blue,RED(x=2, y=9),33177493920
25,Red,BLUE(x=3, y=9),36187371543
Blue,33177493920
Red,36187371543
winner,Red,WIN
