1,Red,RED(x=5, y=5),2012417
2,Blue,REDSWAP(),1888000
3,Red,BLUE(x=8, y=2),3021041876
4,Blue,RED(x=6, y=4),3023299417
5,Red,BLUE(x=8, y=3),6040725126
6,Blue,RED(x=7, y=5),6042908876
7,Red,BLUE(x=9, y=4),9055889918
8,Blue,RED(x=9, y=3),9056503667
9,Red,BLUE(x=8, y=4),12072758001
10,Blue,RED(x=8, y=6),12072049625
11,Red,BLUE(x=7, y=4),15085449793
12,Blue,RED(x=6, y=5),15090181708
13,Red,BLUE(x=3, y=7),18099859209
14,Blue,RED(x=2, y=6),18102930541
15,Red,BLUE(x=4, y=5),21114093500
16,Blue,RED(x=2, y=9),21119673541
17,Red,BLUE(x=4, y=3),24127753583
18,Blue,RED(x=3, y=8),24135851999
19,Red,BLUE(x=8, y=1),27144057583
20,Blue,RED(x=5, y=7),27148701624
21,Red,BLUE(x=4, y=4),30158365708
22,Blue,RED(x=10, y=4),30163917332
23,Red,BLUE(x=1, y=9),33176038041
24,Blue,RED(x=2, y=8),33183535874
25,Red,BLUE(x=1, y=7),36194236791
26,Blue,RED(x=1, y=8),36200167541
27,Red,BLUE(x=4, y=9),39208391874
28,Blue,RED(x=4, y=7),39219182625
29,Red,BLUE(x=8, y=9),42226566791
30,Blue,RED(x=9, y=5),42249746458
31,Red,BLUE(x=1, y=1),45258886958
32,Blue,RED(x=7, y=6),45275900583
33,Red,BLUE(x=5, y=9),47276272166
34,Blue,RED(x=4, y=6),47283478333
35,Red,BLUE(x=10, y=10),49279239833
36,Blue,RED(x=0, y=9),49286846667
Blue,49286846667
Red,49279239833
winner,Blue,WIN
