1,Red,RED(x=5, y=5),2182458
2,Blue,REDSWAP(),1932417
3,Red,BLUE(x=2, y=6),3020655624
4,Blue,RED(x=7, y=3),3019300875
5,Red,BLUE(x=4, y=5),6038725249
6,Blue,RED(x=6, y=3),6040228750
7,Red,BLUE(x=8, y=3),9052017916
8,Blue,RED(x=0, y=10),9057873875
9,Red,BLUE(x=8, y=2),12066270166
10,Blue,RED(x=8, y=5),12070579708
11,Red,BLUE(x=6, y=6),15084284291
12,Blue,RED(x=7, y=4),15086469583
13,Red,BLUE(x=4, y=3),18099262999
14,Blue,RED(x=9, y=4),18105571500
15,Red,BLUE(x=2, y=7),21113970832
16,Blue,RED(x=2, y=9),21118575042
17,Red,BLUE(x=2, y=5),24127345248
18,Blue,RED(x=5, y=7),24133667251
19,Red,BLUE(x=4, y=8),27143868581
20,Blue,RED(x=3, y=7),27153062043
21,Red,BLUE(x=6, y=8),30159352706
22,Blue,RED(x=4, y=6),30172221001
23,Red,BLUE(x=10, y=0),33176442123
24,Blue,RED(x=2, y=8),33188166709
25,Red,BLUE(x=7, y=8),36195811165
26,Blue,RED(x=7, y=5),36210482793
27,Red,BLUE(x=3, y=10),39216938207
28,Blue,RED(x=1, y=9),39227596710
29,Red,BLUE(x=1, y=4),42233956540
30,Blue,RED(x=10, y=3),42240279044
31,Red,BLUE(x=8, y=4),45242245582
32,Blue,RED(x=6, y=5),45241509044
Blue,45241509044
Red,45242245582
winner,Blue,WIN
