1,Red,RED(x=5, y=5),2133958
2,Blue,REDSWAP(),2141500
3,Red,BLUE(x=8, y=4),3017133041
4,Blue,RED(x=6, y=3),3024003125
5,Red,BLUE(x=7, y=6),6032508124
6,Blue,RED(x=3, y=4),6038760167
7,Red,BLUE(x=7, y=3),9044113499
8,Blue,RED(x=7, y=1),9052287667
9,Red,BLUE(x=8, y=1),12057137541
10,Blue,RED(x=10, y=0),12070491167
11,Red,BLUE(x=8, y=0),15071345208
12,Blue,RED(x=6, y=6),15087741167
13,Red,BLUE(x=6, y=8),18082853458
14,Blue,RED(x=8, y=6),18101652917
15,Red,BLUE(x=6, y=7),21097871625
16,Blue,RED(x=7, y=9),21120796875
17,Red,BLUE(x=7, y=5),24112806167
18,Blue,RED(x=4, y=7),24138177125
19,Red,BLUE(x=7, y=2),27131003792
20,Blue,RED(x=4, y=4),27158378333
21,Red,BLUE(x=5, y=9),30151590583
22,Blue,RED(x=4, y=10),30175964917
23,Red,BLUE(x=5, y=10),33153315708
24,Blue,RED(x=8, y=3),33177467834
25,Red,BLUE(x=7, y=4),36153612708
Blue,33177467834
Red,36153612708
winner,Red,WIN
