1,Red,RED(x=5, y=5),2556125
2,Blue,REDSWAP(),2231000
3,Red,BLUE(x=2, y=7),3021457583
4,Blue,RED(x=8, y=2),3020075084
5,Red,BLUE(x=2, y=9),6037675875
6,Blue,RED(x=9, y=2),6038435334
7,Red,BLUE(x=2, y=5),9049988583
8,Blue,RED(x=2, y=8),9055001876
9,Red,BLUE(x=4, y=5),12067424250
10,Blue,RED(x=4, y=7),12068220292
11,Red,BLUE(x=6, y=2),15083083292
12,Blue,RED(x=1, y=8),15084955167
13,Red,BLUE(x=5, y=8),18100257542
14,Blue,RED(x=3, y=8),18099512917
15,Red,BLUE(x=8, y=5),21119481126
16,Blue,RED(x=7, y=3),21113919917
17,Red,BLUE(x=6, y=4),24136408418
18,Blue,RED(x=6, y=3),24128831334
19,Red,BLUE(x=5, y=4),27155266335
20,Blue,RED(x=5, y=3),27142296251
21,Red,BLUE(x=2, y=3),30169914418
22,Blue,RED(x=6, y=5),30156611459
23,Red,BLUE(x=7, y=4),33185030668
24,Blue,RED(x=3, y=4),33174417376
25,Red,BLUE(x=9, y=3),36200722877
26,Blue,RED(x=2, y=4),36191756001
27,Red,BLUE(x=2, y=2),39219539002
28,Blue,RED(x=1, y=5),39223125667
29,Red,BLUE(x=2, y=0),42251712877
30,Blue,RED(x=10, y=1),42247155125
31,Red,BLUE(x=0, y=5),45276268877
32,Blue,RED(x=0, y=6),45249527541
33,Red,BLUE(x=4, y=4),47277706877
34,Blue,RED(x=4, y=3),47249949749
Blue,47249949749
Red,47277706877
winner,Blue,WIN
