1,Red,RED(x=5, y=5),2220000
2,Blue,REDSWAP(),2079250
3,Red,BLUE(x=5, y=6),3023682625
4,Blue,RED(x=2, y=7),3019204167
5,Red,BLUE(x=8, y=2),6045366958
6,Blue,RED(x=6, y=5),6034490958
7,Red,BLUE(x=1, y=7),9062783833
8,Blue,RED(x=8, y=5),9046841333
9,Red,BLUE(x=6, y=6),12074538125
10,Blue,RED(x=7, y=5),12061513541
11,Red,BLUE(x=3, y=6),15090869000
12,Blue,RED(x=4, y=4),15080441416
13,Red,BLUE(x=9, y=4),18108999667
14,Blue,RED(x=9, y=5),18100166082
15,Red,BLUE(x=4, y=2),21125996292
16,Blue,RED(x=3, y=4),21117311916
17,Red,BLUE(x=0, y=4),24145785542
18,Blue,RED(x=1, y=5),24137746999
19,Red,BLUE(x=1, y=2),27166071417
20,Blue,RED(x=2, y=5),27158709540
21,Red,BLUE(x=2, y=1),30188283084
22,Blue,RED(x=5, y=4),30176352331
23,Red,BLUE(x=6, y=1),33207502334
24,Blue,RED(x=10, y=4),33181701414
25,Red,BLUE(x=7, y=10),36211976417
26,Blue,RED(x=0, y=6),36183026872
Blue,36183026872
Red,36211976417
winner,Blue,WIN
