1,Red,RED(x=5, y=5),2203917
2,Blue,REDSWAP(),2161291
3,Red,BLUE(x=7, y=3),3022207376
4,Blue,RED(x=3, y=5),3022704082
5,Red,BLUE(x=6, y=5),6037939459
6,Blue,RED(x=7, y=6),6036822791
7,Red,BLUE(x=5, y=6),9051829500
8,Blue,RED(x=2, y=8),9052008874
9,Red,BLUE(x=3, y=8),12064027458
10,Blue,RED(x=7, y=1),12070648666
11,Red,BLUE(x=8, y=1),15076734208
12,Blue,RED(x=4, y=6),15088658458
13,Red,BLUE(x=4, y=7),18093153000
14,Blue,RED(x=9, y=2),18102574250
15,Red,BLUE(x=6, y=4),21109200208
16,Blue,RED(x=1, y=8),21118052917
17,Red,BLUE(x=2, y=9),24126581749
18,Blue,RED(x=3, y=0),24137595626
19,Red,BLUE(x=9, y=0),27142476124
20,Blue,RED(x=0, y=5),27154605709
21,Red,BLUE(x=2, y=10),30148797083
22,Blue,RED(x=8, y=2),30156249126
23,Red,BLUE(x=7, y=2),33149174500
Blue,30156249126
Red,33149174500
winner,Red,WIN
