1,Red,RED(x=5, y=5),2179750
2,Blue,REDSWAP(),2273875
3,Red,BLUE(x=8, y=2),3020849834
4,Blue,RED(x=7, y=5),3016793875
5,Red,BLUE(x=4, y=5),6042072459
6,Blue,RED(x=1, y=9),6035943042
7,Red,BLUE(x=2, y=8),9054742625
8,Blue,RED(x=4, y=4),9053213667
9,Red,BLUE(x=8, y=5),12072310167
10,Blue,RED(x=3, y=5),12066406376
11,Red,BLUE(x=5, y=4),15087847501
12,Blue,RED(x=3, y=9),15078398085
13,Red,BLUE(x=2, y=9),18103946417
14,Blue,RED(x=3, y=7),18097070835
15,Red,BLUE(x=7, y=3),21117028459
16,Blue,RED(x=2, y=6),21113799918
17,Red,BLUE(x=8, y=4),24132004209
18,Blue,RED(x=8, y=7),24132134877
19,Red,BLUE(x=4, y=6),27148479543
20,Blue,RED(x=7, y=4),27150210877
21,Red,BLUE(x=4, y=7),30161427210
22,Blue,RED(x=3, y=8),30166213252
23,Red,BLUE(x=5, y=8),33176390252
24,Blue,RED(x=6, y=2),33184087543
25,Red,BLUE(x=2, y=7),36190353169
26,Blue,RED(x=1, y=10),36200801793
27,Red,BLUE(x=8, y=1),39204540544
28,Blue,RED(x=7, y=9),39219493793
29,Red,BLUE(x=4, y=9),42222016960
30,Blue,RED(x=9, y=3),42241434793
31,Red,BLUE(x=5, y=7),45241058877
32,Blue,RED(x=10, y=7),45271911210
33,Red,BLUE(x=6, y=4),47258283544
34,Blue,RED(x=0, y=0),47288168626
35,Red,BLUE(x=8, y=0),49266106961
36,Blue,RED(x=4, y=2),49290778751
37,Red,BLUE(x=4, y=10),51268668544
Blue,49290778751
Red,51268668544
winner,Red,WIN
