1,Red,RED(x=5, y=5),2248500
2,Blue,REDSWAP(),2231041
3,Red,BLUE(x=6, y=5),3019572333
4,Blue,RED(x=6, y=4),3023616833
5,Red,BLUE(x=9, y=2),6034374666
6,Blue,RED(x=3, y=6),6043188500
7,Red,BLUE(x=5, y=7),9046645666
8,Blue,RED(x=2, y=7),9054682583
9,Red,BLUE(x=7, y=4),12065750125
10,Blue,RED(x=4, y=8),12073945375
11,Red,BLUE(x=7, y=2),15081063958
12,Blue,RED(x=5, y=8),15092322750
13,Red,BLUE(x=10, y=0),18099310125
14,Blue,RED(x=5, y=6),18110684875
15,Red,BLUE(x=9, y=1),21116448333
16,Blue,RED(x=9, y=5),21121814375
17,Red,BLUE(x=8, y=6),24132002708
18,Blue,RED(x=8, y=8),24135059125
19,Red,BLUE(x=8, y=7),27149104833
20,Blue,RED(x=7, y=8),27151617042
21,Red,BLUE(x=6, y=9),30162926874
22,Blue,RED(x=6, y=8),30169426875
23,Red,BLUE(x=8, y=3),33182364624
24,Blue,RED(x=4, y=7),33186755250
25,Red,BLUE(x=1, y=5),36196413624
26,Blue,RED(x=1, y=7),36206585750
27,Red,BLUE(x=6, y=3),39213970207
28,Blue,RED(x=9, y=7),39224329875
29,Red,BLUE(x=10, y=5),42235331248
30,Blue,RED(x=10, y=7),42246242917
31,Red,BLUE(x=7, y=7),45266212582
32,Blue,RED(x=3, y=7),45277408876
33,Red,BLUE(x=4, y=10),47277271749
34,Blue,RED(x=0, y=8),47278975292
Blue,47278975292
Red,47277271749
winner,Blue,WIN
