1,Red,RED(x=5, y=5),2071083
2,Blue,REDSWAP(),1848250
3,Red,BLUE(x=4, y=6),3022681708
4,Blue,RED(x=4, y=5),3017556625
5,Red,BLUE(x=8, y=1),6036951541
6,Blue,RED(x=8, y=2),6034899041
7,Red,BLUE(x=9, y=1),9047675541
8,Blue,RED(x=9, y=2),9051443999
9,Red,BLUE(x=2, y=7),12061018041
10,Blue,RED(x=2, y=6),12069430749
11,Red,BLUE(x=1, y=9),15076181624
12,Blue,RED(x=6, y=3),15086192624
13,Red,BLUE(x=5, y=6),18092883665
14,Blue,RED(x=7, y=2),18105632957
15,Red,BLUE(x=0, y=8),21111358249
16,Blue,RED(x=1, y=6),21123647207
17,Red,BLUE(x=5, y=1),24128416499
18,Blue,RED(x=3, y=6),24141888790
19,Red,BLUE(x=9, y=6),27146396249
20,Blue,RED(x=10, y=2),27170948832
21,Red,BLUE(x=10, y=3),30178625540
22,Blue,RED(x=6, y=4),30183570248
23,Red,BLUE(x=5, y=7),33185191582
24,Blue,RED(x=0, y=6),33185171623
Blue,33185171623
Red,33185191582
winner,Blue,WIN
