1,Red,RED(x=5, y=5),2168083
2,Blue,REDSWAP(),2357500
3,Red,BLUE(x=3, y=7),3021848291
4,Blue,RED(x=3, y=5),3027277584
5,Red,BLUE(x=4, y=5),6043691707
6,Blue,RED(x=8, y=2),6046596459
7,Red,BLUE(x=2, y=8),9056151457
8,Blue,RED(x=6, y=2),9062183334
9,Red,BLUE(x=1, y=9),12072721165
10,Blue,RED(x=7, y=3),12079614792
11,Red,BLUE(x=4, y=2),15090436081
12,Blue,RED(x=3, y=6),15093000667
13,Red,BLUE(x=2, y=4),18106047372
14,Blue,RED(x=4, y=6),18110292209
15,Red,BLUE(x=6, y=3),21121052080
16,Blue,RED(x=1, y=6),21125773125
17,Red,BLUE(x=7, y=6),24134920414
18,Blue,RED(x=6, y=4),24146210875
19,Red,BLUE(x=9, y=5),27151576873
20,Blue,RED(x=9, y=2),27166147292
21,Red,BLUE(x=6, y=1),30184614248
22,Blue,RED(x=2, y=6),30193047625
23,Red,BLUE(x=5, y=3),33204779956
24,Blue,RED(x=0, y=6),33206004333
25,Red,BLUE(x=6, y=8),36211458873
26,Blue,RED(x=10, y=1),36207634750
Blue,36207634750
Red,36211458873
winner,Blue,WIN
