1,Red,RED(x=5, y=5),2491959
2,Blue,REDSWAP(),2354708
3,Red,BLUE(x=7, y=4),3018264543
4,Blue,RED(x=6, y=3),3023935874
5,Red,BLUE(x=6, y=5),6033315627
6,Blue,RED(x=7, y=3),6042304749
7,Red,BLUE(x=3, y=5),9049074418
8,Blue,RED(x=4, y=4),9054153708
9,Red,BLUE(x=5, y=6),12067219543
10,Blue,RED(x=10, y=1),12073704833
11,Red,BLUE(x=5, y=3),15079475876
12,Blue,RED(x=5, y=4),15092824958
13,Red,BLUE(x=3, y=4),18095736042
14,Blue,RED(x=3, y=6),18109029750
15,Red,BLUE(x=8, y=1),21114802417
16,Blue,RED(x=8, y=2),21127115667
17,Red,BLUE(x=4, y=7),24135504334
18,Blue,RED(x=2, y=6),24146259667
19,Red,BLUE(x=6, y=2),27158154084
20,Blue,RED(x=4, y=6),27179253167
21,Red,BLUE(x=10, y=6),30193556625
22,Blue,RED(x=1, y=7),30202765792
23,Red,BLUE(x=0, y=7),33219566750
24,Blue,RED(x=0, y=8),33204876333
25,Red,BLUE(x=9, y=1),36221239542
26,Blue,RED(x=9, y=2),36205252958
Blue,36205252958
Red,36221239542
winner,Blue,WIN
