1,Red,RED(x=5, y=5),2155625
2,Blue,REDSWAP(),2188584
3,Red,BLUE(x=7, y=4),3020405708
4,Blue,RED(x=2, y=7),3022095000
5,Red,BLUE(x=6, y=7),6034505499
6,Blue,RED(x=4, y=6),6039579916
7,Red,BLUE(x=8, y=3),9045741707
8,Blue,RED(x=6, y=6),9056381416
9,Red,BLUE(x=8, y=5),12057299374
10,Blue,RED(x=8, y=2),12074971416
11,Red,BLUE(x=6, y=4),15073207124
12,Blue,RED(x=7, y=5),15088909000
13,Red,BLUE(x=8, y=4),18090462957
14,Blue,RED(x=6, y=3),18103671208
15,Red,BLUE(x=5, y=4),21109795582
16,Blue,RED(x=5, y=8),21116341083
17,Red,BLUE(x=5, y=3),24122399291
18,Blue,RED(x=3, y=6),24132343333
19,Red,BLUE(x=6, y=8),27136483874
20,Blue,RED(x=8, y=7),27148948041
21,Red,BLUE(x=7, y=6),30153234832
22,Blue,RED(x=7, y=0),30164701916
23,Red,BLUE(x=5, y=2),33171425332
24,Blue,RED(x=2, y=3),33184838083
25,Red,BLUE(x=5, y=1),36188364124
26,Blue,RED(x=2, y=9),36203450791
27,Red,BLUE(x=6, y=9),39215872333
28,Blue,RED(x=9, y=5),39232512749
29,Red,BLUE(x=6, y=10),42234858708
30,Blue,RED(x=5, y=6),42243582665
31,Red,BLUE(x=5, y=0),45236502041
Blue,42243582665
Red,45236502041
winner,Red,WIN
