1,Red,RED(x=5, y=5),2090625
2,Blue,REDSWAP(),2146417
3,Red,BLUE(x=7, y=5),3019149334
4,Blue,RED(x=7, y=2),3021026167
5,Red,BLUE(x=2, y=7),6039489918
6,Blue,RED(x=2, y=5),6040482126
7,Red,BLUE(x=6, y=4),9056414126
8,Blue,RED(x=7, y=6),9056186417
9,Red,BLUE(x=5, y=4),12071144751
10,Blue,RED(x=5, y=2),12074796042
11,Red,BLUE(x=3, y=5),15087958959
12,Blue,RED(x=1, y=9),15091171667
13,Red,BLUE(x=5, y=7),18101983626
14,Blue,RED(x=7, y=4),18106198334
15,Red,BLUE(x=10, y=0),21117561876
16,Blue,RED(x=5, y=8),21123302751
17,Red,BLUE(x=8, y=2),24130527834
18,Blue,RED(x=6, y=7),24138335168
19,Red,BLUE(x=2, y=9),27143476417
20,Blue,RED(x=3, y=7),27157346418
21,Red,BLUE(x=2, y=8),30157423292
22,Blue,RED(x=7, y=3),30176411210
23,Red,BLUE(x=6, y=2),33176661834
24,Blue,RED(x=3, y=9),33196796127
25,Red,BLUE(x=1, y=10),36193723126
26,Blue,RED(x=3, y=1),36217269043
27,Red,BLUE(x=7, y=1),39211178876
28,Blue,RED(x=6, y=1),39236631751
29,Red,BLUE(x=2, y=6),42244669835
30,Blue,RED(x=3, y=6),42269893417
31,Red,BLUE(x=5, y=3),45269090793
32,Blue,RED(x=7, y=0),45298087125
33,Red,BLUE(x=8, y=0),47272657918
34,Blue,RED(x=2, y=0),47300680000
35,Red,BLUE(x=4, y=4),49273972627
Blue,47300680000
Red,49273972627
winner,Red,WIN
