1,Red,RED(x=5, y=5),2048458
2,Blue,REDSWAP(),1837917
3,Red,BLUE(x=4, y=6),3020380874
4,Blue,RED(x=4, y=5),3017942542
5,Red,BLUE(x=7, y=5),6033906541
6,Blue,RED(x=7, y=4),6035105667
7,Red,BLUE(x=8, y=2),9048831833
8,Blue,RED(x=2, y=7),9053310750
9,Red,BLUE(x=1, y=8),12065936500
10,Blue,RED(x=8, y=3),12067982000
11,Red,BLUE(x=4, y=3),15078593083
12,Blue,RED(x=1, y=7),15081035792
13,Red,BLUE(x=3, y=4),18093053916
14,Blue,RED(x=3, y=6),18100089792
15,Red,BLUE(x=7, y=8),21108472499
16,Blue,RED(x=9, y=3),21118919875
17,Red,BLUE(x=2, y=4),24130363790
18,Blue,RED(x=6, y=5),24136596583
19,Red,BLUE(x=2, y=6),27147151873
20,Blue,RED(x=10, y=2),27143516083
21,Red,BLUE(x=6, y=0),30149956040
22,Blue,RED(x=0, y=8),30145076208
Blue,30145076208
Red,30149956040
winner,Blue,WIN
