1,Red,RED(x=5, y=5),2269833
2,Blue,REDSWAP(),2192208
3,Red,BLUE(x=3, y=4),3023644291
4,Blue,RED(x=4, y=6),3020127333
5,Red,BLUE(x=7, y=3),6039668041
6,Blue,RED(x=2, y=6),6038485249
7,Red,BLUE(x=5, y=7),9056971041
8,Blue,RED(x=7, y=4),9055168499
9,Red,BLUE(x=6, y=6),12069239707
10,Blue,RED(x=8, y=3),12071957166
11,Red,BLUE(x=3, y=6),15082270790
12,Blue,RED(x=3, y=7),15088182958
13,Red,BLUE(x=1, y=6),18100154707
14,Blue,RED(x=2, y=7),18102392583
15,Red,BLUE(x=7, y=5),21115246123
16,Blue,RED(x=9, y=3),21122047792
17,Red,BLUE(x=9, y=2),24132900373
18,Blue,RED(x=6, y=4),24142741625
19,Red,BLUE(x=3, y=9),27160983623
20,Blue,RED(x=1, y=8),27173593584
21,Red,BLUE(x=3, y=1),30182167082
22,Blue,RED(x=0, y=9),30180424084
23,Red,BLUE(x=9, y=8),33186123832
24,Blue,RED(x=10, y=3),33181945918
Blue,33181945918
Red,33186123832
winner,Blue,WIN
