1,Red,RED(x=5, y=5),2044917
2,Blue,REDSWAP(),1804375
3,Red,BLUE(x=3, y=7),3022835709
4,Blue,RED(x=8, y=3),3018355042
5,Red,BLUE(x=2, y=5),6040492167
6,Blue,RED(x=3, y=6),6035760875
7,Red,BLUE(x=1, y=9),9056935000
8,Blue,RED(x=1, y=7),9050780250
9,Red,BLUE(x=6, y=6),12070675667
10,Blue,RED(x=6, y=4),12065711750
11,Red,BLUE(x=3, y=4),15083993709
12,Blue,RED(x=4, y=5),15084776250
13,Red,BLUE(x=7, y=2),18103980001
14,Blue,RED(x=2, y=7),18098526208
15,Red,BLUE(x=5, y=8),21118845001
16,Blue,RED(x=7, y=3),21116427499
17,Red,BLUE(x=4, y=7),24137756626
18,Blue,RED(x=9, y=2),24134947957
19,Red,BLUE(x=0, y=0),27156504751
20,Blue,RED(x=10, y=2),27145709457
21,Red,BLUE(x=6, y=0),30160265751
22,Blue,RED(x=0, y=8),30147332499
Blue,30147332499
Red,30160265751
winner,Blue,WIN
