1,Red,RED(x=5, y=5),2594750
2,Blue,REDSWAP(),2201625
3,Red,BLUE(x=6, y=6),3019095291
4,Blue,RED(x=8, y=2),3019608209
5,Red,BLUE(x=9, y=1),6038753374
6,Blue,RED(x=9, y=2),6038569834
7,Red,BLUE(x=4, y=4),9055994332
8,Blue,RED(x=3, y=7),9053891834
9,Red,BLUE(x=4, y=7),12068689540
10,Blue,RED(x=4, y=6),12066778459
11,Red,BLUE(x=1, y=7),15083160707
12,Blue,RED(x=2, y=8),15079544209
13,Red,BLUE(x=0, y=9),18098963624
14,Blue,RED(x=0, y=10),18092683834
15,Red,BLUE(x=8, y=1),21115933874
16,Blue,RED(x=1, y=9),21111399417
17,Red,BLUE(x=9, y=5),24129422749
18,Blue,RED(x=6, y=4),24125435084
19,Red,BLUE(x=2, y=2),27145077666
20,Blue,RED(x=7, y=3),27127804084
21,Red,BLUE(x=10, y=2),30146869041
22,Blue,RED(x=10, y=1),30128233709
Blue,30128233709
Red,30146869041
winner,Blue,WIN
